"time","videoID","condition","participantID","rating"
84,"HID53_vid2","both","add79466",67.252004008016
86,"HID53_vid2","both","add79466",67.497995991984
88,"HID53_vid2","both","add79466",68
90,"HID53_vid2","both","add79466",68
92,"HID53_vid2","both","add79466",68
94,"HID53_vid2","both","add79466",68
96,"HID53_vid2","both","add79466",68
98,"HID53_vid2","both","add79466",68
100,"HID53_vid2","both","add79466",68
102,"HID53_vid2","both","add79466",68
104,"HID53_vid2","both","add79466",68
106,"HID53_vid2","both","add79466",68
108,"HID53_vid2","both","add79466",68
110,"HID53_vid2","both","add79466",68
112,"HID53_vid2","both","add79466",68
114,"HID53_vid2","both","add79466",68
116,"HID53_vid2","both","add79466",65.7640322076298
118,"HID53_vid2","both","add79466",63.5024900398406
120,"HID53_vid2","both","add79466",63
122,"HID53_vid2","both","add79466",63
124,"HID53_vid2","both","add79466",63
126,"HID53_vid2","both","add79466",63.498
128,"HID53_vid2","both","add79466",68.7379919839679
130,"HID53_vid2","both","add79466",77.9879759519039
132,"HID53_vid2","both","add79466",78
134,"HID53_vid2","both","add79466",78
136,"HID53_vid2","both","add79466",78
138,"HID53_vid2","both","add79466",78
140,"HID53_vid2","both","add79466",78
142,"HID53_vid2","both","add79466",78
144,"HID53_vid2","both","add79466",78
146,"HID53_vid2","both","add79466",78
148,"HID53_vid2","both","add79466",78
150,"HID53_vid2","both","add79466",78
152,"HID53_vid2","both","add79466",78
154,"HID53_vid2","both","add79466",78
156,"HID53_vid2","both","add79466",78
158,"HID53_vid2","both","add79466",78
160,"HID53_vid2","both","add79466",78
162,"HID53_vid2","both","add79466",77.2589641434263
164,"HID53_vid2","both","add79466",73.2540080321285
166,"HID53_vid2","both","add79466",74.996
168,"HID53_vid2","both","add79466",75
170,"HID53_vid2","both","add79466",75
172,"HID53_vid2","both","add79466",75
174,"HID53_vid2","both","add79466",75
2,"HID53_vid2","both","7151b148",50
4,"HID53_vid2","both","7151b148",50
6,"HID53_vid2","both","7151b148",50
8,"HID53_vid2","both","7151b148",50
10,"HID53_vid2","both","7151b148",47.25
12,"HID53_vid2","both","7151b148",40
14,"HID53_vid2","both","7151b148",40
16,"HID53_vid2","both","7151b148",40
18,"HID53_vid2","both","7151b148",40
20,"HID53_vid2","both","7151b148",40
22,"HID53_vid2","both","7151b148",40
24,"HID53_vid2","both","7151b148",40
26,"HID53_vid2","both","7151b148",38.75
28,"HID53_vid2","both","7151b148",37
30,"HID53_vid2","both","7151b148",37
32,"HID53_vid2","both","7151b148",37
34,"HID53_vid2","both","7151b148",37
36,"HID53_vid2","both","7151b148",37
38,"HID53_vid2","both","7151b148",46.7450089820359
40,"HID53_vid2","both","7151b148",47
42,"HID53_vid2","both","7151b148",47
44,"HID53_vid2","both","7151b148",46.75
46,"HID53_vid2","both","7151b148",45.25
48,"HID53_vid2","both","7151b148",41
50,"HID53_vid2","both","7151b148",41
52,"HID53_vid2","both","7151b148",41
54,"HID53_vid2","both","7151b148",41
56,"HID53_vid2","both","7151b148",41
58,"HID53_vid2","both","7151b148",41
60,"HID53_vid2","both","7151b148",41.250499001996
62,"HID53_vid2","both","7151b148",47.248502994012
64,"HID53_vid2","both","7151b148",48
66,"HID53_vid2","both","7151b148",40.75
68,"HID53_vid2","both","7151b148",28
