"time","rating","videoID"
16,77.3,"120_4"
18,77.3,"120_4"
20,77.225,"120_4"
22,75.1,"120_4"
24,51.425,"120_4"
26,47.5,"120_4"
28,61.375,"120_4"
30,78.4,"120_4"
32,78.2,"120_4"
34,78.75,"120_4"
36,79.7,"120_4"
38,80,"120_4"
40,80,"120_4"
42,80,"120_4"
44,80,"120_4"
46,80,"120_4"
48,80,"120_4"
50,80,"120_4"
52,80,"120_4"
54,80,"120_4"
56,80,"120_4"
58,80,"120_4"
60,80,"120_4"
62,80,"120_4"
64,85.325,"120_4"
66,87.675,"120_4"
68,87.7,"120_4"
70,87.7,"120_4"
72,87.7,"120_4"
74,87.7,"120_4"
76,83.7,"120_4"
78,56.075,"120_4"
80,54.05,"120_4"
82,56.325,"120_4"
84,57.175,"120_4"
86,57,"120_4"
88,57,"120_4"
90,63.95,"120_4"
92,79.775,"120_4"
94,81.5,"120_4"
96,81.5,"120_4"
98,81.5,"120_4"
100,81.5,"120_4"
102,81.5,"120_4"
104,82.625,"120_4"
106,83,"120_4"
108,83,"120_4"
110,83,"120_4"
112,83,"120_4"
114,84.35,"120_4"
116,84.7,"120_4"
118,85.2,"120_4"
120,87.375,"120_4"
122,87.5,"120_4"
124,89.875,"120_4"
126,90.8,"120_4"
128,90.8,"120_4"
130,90.8,"120_4"
132,90.8,"120_4"
134,90.8,"120_4"
136,90.8,"120_4"
138,90.8,"120_4"
140,90.8,"120_4"
142,90.8,"120_4"
2,57.3,"121_5"
4,62.325,"121_5"
6,64,"121_5"
8,65.525,"121_5"
10,69.9,"121_5"
12,70.2,"121_5"
14,70.2,"121_5"
16,70.2,"121_5"
18,70.2,"121_5"
20,70.2,"121_5"
22,72.85,"121_5"
24,75.8,"121_5"
26,75.8,"121_5"
28,75.8,"121_5"
30,75.8,"121_5"
32,76.575,"121_5"
34,81.1,"121_5"
36,83.725,"121_5"
38,90.175,"121_5"
40,100,"121_5"
42,100,"121_5"
44,100,"121_5"
46,100,"121_5"
48,99.2,"121_5"
50,87.925,"121_5"
52,87,"121_5"
54,87.3,"121_5"
56,87.35,"121_5"
58,87.7,"121_5"
60,87.7,"121_5"
62,87.7,"121_5"
64,92.975,"121_5"
66,100,"121_5"
68,100,"121_5"
70,100,"121_5"
72,100,"121_5"
74,100,"121_5"
76,100,"121_5"
78,100,"121_5"
2,38.2,"124_3"
4,38.2,"124_3"
6,38.2,"124_3"
8,38.2,"124_3"
10,38.2,"124_3"
12,38.2,"124_3"
14,38.2,"124_3"
16,38.2,"124_3"
18,38.2,"124_3"
20,38.2,"124_3"
22,38.575,"124_3"
24,45.25,"124_3"
26,45.8,"124_3"
28,45.8,"124_3"
30,45.8,"124_3"
32,45.85,"124_3"
34,48.025,"124_3"
36,42.075,"124_3"
38,41.8,"124_3"
40,42.1,"124_3"
42,43.1,"124_3"
44,45.2,"124_3"
46,44.9,"124_3"
