"condition","videoID","time","rating","N","sd"
"audioOnly","116_5",2,50.03125,24,0.153093108923949
"audioOnly","116_5",4,51.0421075837743,24,2.55965084062858
"audioOnly","116_5",6,56.8701499118166,24,11.9070517866889
"audioOnly","116_5",8,64.6037808641975,24,14.969344963937
"audioOnly","116_5",10,64.2840057319224,24,14.433875206633
"audioOnly","116_5",12,55.1219686948854,24,17.428851276954
"audioOnly","116_5",14,51.7475198412698,24,17.7422659038711
"audioOnly","116_5",16,58.5405643738977,24,17.1118777403218
"audioOnly","116_5",18,77.0200066137566,24,15.1528998047627
"audioOnly","116_5",20,80.5121252204586,24,14.2854582408673
"audioOnly","116_5",22,81.2475749559083,24,13.6018033853541
"audioOnly","116_5",24,83.6978064373898,24,13.1501648738008
"audioOnly","116_5",26,86.3313492063492,24,13.6995624077751
"audioOnly","116_5",28,86.4895833333333,24,12.9862969515753
"audioOnly","116_5",30,86.9999448853616,24,12.6128196048458
"audioOnly","116_5",32,87.99360670194,24,11.8910217122564
"audioOnly","116_5",34,88.7083333333333,24,11.6299660165908
"audioOnly","116_5",36,88.5377535273369,24,11.349760558553
"audioOnly","116_5",38,89.0520833333333,24,11.2689403765458
"audioOnly","116_5",40,87.8854166666667,24,10.8625251204659
"audioOnly","116_5",42,87.8541115520282,24,10.3436143299846
"audioOnly","116_5",44,89.2083333333333,24,10.58933699393
"audioOnly","116_5",46,89.3123897707231,24,10.7235314606796
"audioOnly","116_5",48,89.2032076719577,24,10.6308361656855
"audioOnly","116_5",50,88.6199294532628,24,11.7759661971151
"audioOnly","116_5",52,90.6183311287478,24,9.17851475024786
"audioOnly","116_5",54,89.9329805996473,24,11.1276431495112
"audioOnly","116_5",56,88.9552469135802,24,12.7780335182541
"audioOnly","116_5",58,88.7958002645503,24,12.6206687251216
"audioOnly","116_5",60,90.9444995590829,24,10.0364748760775
"audioOnly","116_5",62,92.0537918871252,24,9.59784635890483
"audioOnly","116_5",64,92.9061948853616,24,9.78277043021723
"audioOnly","116_5",66,92.7838955026455,24,10.4109140827533
"audioOnly","116_5",68,91.2307098765432,24,10.9063345513947
"audioOnly","116_5",70,85.7994929453263,24,17.7910759883277
"audioOnly","116_5",72,86.8396715167548,24,13.9605479488445
"audioOnly","116_5",74,87.2120260141093,24,13.2831948430734
"audioOnly","116_5",76,89.3240740740741,24,12.3188448189252
"audioOnly","116_5",78,90.3239087301587,24,11.9717746301092
"audioOnly","116_5",80,89.3552689594356,24,12.7424451457476
"audioOnly","116_5",82,87.78125,24,15.0049471008731
"audioOnly","116_5",84,88.1550925925926,24,14.9494112857431
"audioOnly","116_5",86,88.9176036155203,24,14.137563374368
"audioOnly","116_5",88,87.8402226631393,24,15.97142075212
"audioOnly","116_5",90,86.0755070546737,24,16.6436225339744
"audioOnly","116_5",92,86.3854717813051,24,17.2968095808148
"audioOnly","116_5",94,84.1875551146384,24,19.5755736961689
"audioOnly","116_5",96,83.5416666666667,24,20.8075637724585
"both","116_5",2,50.2273478835979,24,1.11377261783296
"both","116_5",4,54.4344135802469,24,6.60976449468627
"both","116_5",6,68.3931878306878,24,14.9006687382212
"both","116_5",8,76.4976851851852,24,15.4512531971225
"both","116_5",10,79.4383267195767,24,13.6797754306725
"both","116_5",12,71.7175925925926,24,20.0610291797718
"both","116_5",14,62.275958994709,24,21.8038133577416
"both","116_5",16,69.1328262786596,24,18.1991687098556
"both","116_5",18,79.4246031746032,24,14.332000059126
"both","116_5",20,80.0664682539683,24,14.1226629105743
"both","116_5",22,79.6931216931217,24,16.4944310674688
"both","116_5",24,80.7133487654321,24,17.9407929407999
"both","116_5",26,81.6123787477954,24,18.9350837100831
"both","116_5",28,80.4488536155203,24,19.3494007156107
"both","116_5",30,80.5395171957672,24,19.2227473102058
"both","116_5",32,80.4825837742504,24,19.4442297540556
"both","116_5",34,82.09375,24,17.9302411081294
"both","116_5",36,82.1641313932981,24,17.9814120016689
"both","116_5",38,83.139880952381,24,16.2274734191489
"both","116_5",40,80.0981591710758,24,18.8357954502642
"both","116_5",42,80.2819113756614,24,18.5178608994301
"both","116_5",44,80.4019510582011,24,18.2783326566241
"both","116_5",46,79.5477843915344,24,18.606429273014
"both","116_5",48,77.6971450617284,24,18.9935740670781
"both","116_5",50,78.34375,24,19.750218143633
"both","116_5",52,83.2329144620811,24,15.1670912560668
"both","116_5",54,85.574184303351,24,12.0326501125258
"both","116_5",56,86.5909391534392,24,11.8562013333575
"both","116_5",58,86.5,24,12.7554336247939
"both","116_5",60,88.5134479717813,24,13.0262871450126
"both","116_5",62,89.8881172839506,24,11.9515133174891
"both","116_5",64,93.0555555555556,24,7.25704166890469
"both","116_5",66,92.0097001763668,24,8.935366231382
"both","116_5",68,85.53125,24,15.7699019780145
"both","116_5",70,75.6666666666667,24,21.3961936205783
"both","116_5",72,77.8948963844797,24,20.578017860761
"both","116_5",74,80.9156194885362,24,17.4770691497624
"both","116_5",76,83.7395833333333,24,15.1511608210902
"both","116_5",78,85.227237654321,24,13.9382969758068
"both","116_5",80,88.8337191358025,24,8.24435195400499
"both","116_5",82,88.5813492063492,24,10.8852625815966
"both","116_5",84,87.696979717813,24,11.5302720067358
"both","116_5",86,88.091159611993,24,11.1003185991971
"both","116_5",88,85.4791666666667,24,11.7141953709338
"both","116_5",90,83.46875,24,15.2766717045816
"both","116_5",92,83.4754739858907,24,13.3085979953134
"both","116_5",94,83.0626102292769,24,12.6622802645679
"both","116_5",96,81.0833333333333,24,13.3609315825515
"videoOnly","116_5",2,50,50,0
"videoOnly","116_5",4,52.6828042328042,50,5.93931103571904
"videoOnly","116_5",6,67.083544973545,50,15.0932198350544
"videoOnly","116_5",8,76.7653968253968,50,15.7133942651335
"videoOnly","116_5",10,78.5584656084656,50,14.6101731796571
"videoOnly","116_5",12,79.3274867724868,50,13.7584866800057
"videoOnly","116_5",14,78.0865873015873,50,14.9082156193244
"videoOnly","116_5",16,75.1896825396825,50,14.6620657692702
"videoOnly","116_5",18,72.0302380952381,50,16.1349043069663
"videoOnly","116_5",20,71.73,50,16.6845202237152
"videoOnly","116_5",22,69.1804232804233,50,18.3325219211661
"videoOnly","116_5",24,67.038835978836,50,19.1266886717079
"videoOnly","116_5",26,61.4933068783069,50,20.947143806311
"videoOnly","116_5",28,57.8939947089947,50,22.6977136229335
"videoOnly","116_5",30,52.6766666666667,50,21.74561955747
"videoOnly","116_5",32,47.8164814814815,50,22.1626721110545
"videoOnly","116_5",34,47.0022486772487,50,22.4046077763268
"videoOnly","116_5",36,49.8911111111111,50,20.9751109262303
"videoOnly","116_5",38,53.4667724867725,50,20.888241372689
"videoOnly","116_5",40,49.2235185185185,50,21.4937442848974
"videoOnly","116_5",42,48.5985978835979,50,20.9266325687966
"videoOnly","116_5",44,50.3463756613757,50,20.5366019405341
"videoOnly","116_5",46,50.2762169312169,50,20.3489313439025
"videoOnly","116_5",48,47.9384126984127,50,22.2612914091277
"videoOnly","116_5",50,46.1418518518519,50,23.1696352069864
"videoOnly","116_5",52,52.163544973545,50,20.6146409864977
"videoOnly","116_5",54,57.0817724867725,50,19.3890936659711
"videoOnly","116_5",56,59.2608201058201,50,17.89735638828
"videoOnly","116_5",58,59.2590476190476,50,17.9062164692037
"videoOnly","116_5",60,60.1302380952381,50,19.0432466318346
"videoOnly","116_5",62,63.5331481481482,50,18.6417522745504
"videoOnly","116_5",64,74.030873015873,50,14.7731013477303
"videoOnly","116_5",66,77.0860317460318,50,12.5502185067621
"videoOnly","116_5",68,69.0712433862434,50,21.4990922628008
"videoOnly","116_5",70,63.2325396825397,50,21.248315126419
"videoOnly","116_5",72,60.1522486772487,50,21.270693854638
"videoOnly","116_5",74,56.0357671957672,50,20.869867681721
"videoOnly","116_5",76,50.2492857142857,50,20.9112291067311
"videoOnly","116_5",78,47.3384391534392,50,22.7595061157464
"videoOnly","116_5",80,65.8293386243386,50,19.3445099144102
"videoOnly","116_5",82,69.7025661375661,50,17.2515630235449
"videoOnly","116_5",84,66.8296560846561,50,17.4903885512944
"videoOnly","116_5",86,64.5755291005291,50,17.3694683157039
"videoOnly","116_5",88,61.2746031746032,50,18.0341666261004
"videoOnly","116_5",90,58.7866931216931,50,18.7244079775165
"videoOnly","116_5",92,59.3704232804233,50,18.4986745008504
"videoOnly","116_5",94,64.2390211640212,50,18.8379490918427
"videoOnly","116_5",96,65.52,50,18.0591318976843
"audioOnly","118_3",2,50.1595622119816,40,0.715047782367108
"audioOnly","118_3",4,58.6613767281106,40,9.81428480682352
"audioOnly","118_3",6,67.5614631336406,40,13.5785545757828
"audioOnly","118_3",8,68.0896601382488,40,12.8878979537991
"audioOnly","118_3",10,61.0280241935484,40,14.7089208457239
"audioOnly","118_3",12,56.9052131336406,40,16.4375646692192
"audioOnly","118_3",14,49.4200748847926,40,17.2523686097935
"audioOnly","118_3",16,40.420017281106,40,17.957532771244
"audioOnly","118_3",18,33.3283698156682,40,16.2986430999861
"audioOnly","118_3",20,30.2569412442396,40,15.6744868717237
"audioOnly","118_3",22,28.8596774193548,40,15.1580458301587
"audioOnly","118_3",24,25.3457661290323,40,15.0710963781022
"audioOnly","118_3",26,23.7060483870968,40,14.09310465392
"audioOnly","118_3",28,22.0900633640553,40,13.8485465513551
"audioOnly","118_3",30,21.8483294930876,40,13.5076629202207
"audioOnly","118_3",32,21.4027649769585,40,13.5523518864125
"audioOnly","118_3",34,20.8596774193548,40,13.7156894846452
"audioOnly","118_3",36,20.9425979262673,40,13.0476638072814
"audioOnly","118_3",38,20.3863767281106,40,13.166978904523
"audioOnly","118_3",40,19.9782546082949,40,12.7240620504467
"audioOnly","118_3",42,20.3612615207373,40,12.4169854213317
"audioOnly","118_3",44,20.2033122119816,40,12.0442432212174
"audioOnly","118_3",46,19.8944988479263,40,11.9579124668965
"audioOnly","118_3",48,19.0377304147465,40,12.051616174075
"audioOnly","118_3",50,19.2424251152074,40,12.0171946861672
"audioOnly","118_3",52,19.8840725806452,40,12.6048196807934
"audioOnly","118_3",54,20.2059619815668,40,13.4314602395207
"audioOnly","118_3",56,19.2989631336406,40,13.6554090044184
"audioOnly","118_3",58,18.961319124424,40,13.5117365904609
"audioOnly","118_3",60,18.1550979262673,40,13.7511355282733
"audioOnly","118_3",62,18.3498559907834,40,13.7248225554764
"audioOnly","118_3",64,18.3559043778802,40,14.1928870523722
"audioOnly","118_3",66,18.159331797235,40,14.6690250625475
"audioOnly","118_3",68,17.6633928571429,40,14.6317955481766
"audioOnly","118_3",70,17.3474942396313,40,14.311847979277
"audioOnly","118_3",72,16.0971774193548,40,13.7891439135359
"audioOnly","118_3",74,16.4328052995392,40,13.6186115304995
"audioOnly","118_3",76,19.806970046083,40,15.5123178608559
"audioOnly","118_3",78,24.0066532258065,40,18.1281291851443
"audioOnly","118_3",80,25.2401209677419,40,18.8317416166123
"audioOnly","118_3",82,26.466301843318,40,19.2729664277284
"audioOnly","118_3",84,26.8521601382488,40,19.8209111404472
"audioOnly","118_3",86,28.2485887096774,40,21.1263548135931
"audioOnly","118_3",88,32.0516705069124,40,23.4725180222484
"audioOnly","118_3",90,34.0272753456221,40,23.5118441292768
"audioOnly","118_3",92,34.0102534562212,40,23.0486724501433
"audioOnly","118_3",94,33.522465437788,40,22.4524877083708
"audioOnly","118_3",96,30.4495103686636,40,19.196864652123
"audioOnly","118_3",98,25.990668202765,40,16.6631166377879
"audioOnly","118_3",100,23.8473790322581,40,14.9731580699414
"audioOnly","118_3",102,20.5334389400922,40,14.3860186138124
"audioOnly","118_3",104,19.838767281106,40,14.7584519668905
"audioOnly","118_3",106,21.5804435483871,40,15.2905127752765
"audioOnly","118_3",108,24.2052419354839,40,16.9788317436979
"audioOnly","118_3",110,23.575,40,17.4398416541859
"both","118_3",2,50.0192307692308,13,0.0693375245281536
"both","118_3",4,58.198245303084,13,8.86803966305577
"both","118_3",6,68.5576923076923,13,14.6031367371569
"both","118_3",8,67.9038461538462,13,12.0344723873141
"both","118_3",10,57.1145870258773,13,16.8696540745612
"both","118_3",12,51.0384615384615,13,19.5410481833131
"both","118_3",14,44.182382133995,13,19.5915391071462
"both","118_3",16,39.1923076923077,13,16.9979023969852
"both","118_3",18,36.6538461538462,13,15.7058038839477
"both","118_3",20,35.264888337469,13,15.608346777945
"both","118_3",22,34.1730769230769,13,16.0134658879204
"both","118_3",24,30.762938674229,13,16.9185077143141
"both","118_3",26,28.5961538461538,13,15.8125538409948
"both","118_3",28,27.9423076923077,13,16.0195693626297
"both","118_3",30,27.0576923076923,13,15.9230420846888
"both","118_3",32,26.1395781637717,13,15.3174048221407
"both","118_3",34,24.7262495568947,13,15.7406415928913
"both","118_3",36,23.8076923076923,13,16.4956287916153
"both","118_3",38,23.2307692307692,13,16.8035405304648
"both","118_3",40,23.5035448422545,13,17.2787797875056
"both","118_3",42,22.405529953917,13,15.9671230024923
"both","118_3",44,21.5769230769231,13,15.5185992627209
"both","118_3",46,21.5192307692308,13,15.5337205575153
"both","118_3",48,21.1538461538462,13,13.7229045385574
"both","118_3",50,22.3076923076923,13,13.0216781777197
"both","118_3",52,22.25,13,12.9284892131035
"both","118_3",54,22.75,13,12.9115581295726
"both","118_3",56,22.3076923076923,13,13.2598838317223
"both","118_3",58,20.2720666430344,13,11.9220274448467
"both","118_3",60,20.4166962070188,13,13.0817972551849
"both","118_3",62,19.5425381070542,13,12.3264274663739
"both","118_3",64,20.0319035802907,13,10.7216847623106
"both","118_3",66,20.1153846153846,13,10.5872443813177
"both","118_3",68,20.2307692307692,13,10.8716285667009
"both","118_3",70,19.9423076923077,13,10.9530978523933
"both","118_3",72,16.6182204891882,13,11.4255415447135
"both","118_3",74,15.5384615384615,13,11.4572785062261
"both","118_3",76,17.9181141439206,13,11.9968411835961
"both","118_3",78,24.5603509393832,13,17.1119099563359
"both","118_3",80,28.0281814959234,13,21.9913360099722
