"time","rating","videoID"
118,63,"111_4"
120,63,"111_4"
122,63,"111_4"
124,64.425,"111_4"
126,65.2,"111_4"
128,65.2,"111_4"
130,65.2,"111_4"
132,65.475,"111_4"
134,73.85,"111_4"
136,81.125,"111_4"
138,86.475,"111_4"
140,86.325,"111_4"
142,86.4,"111_4"
144,93.5,"111_4"
146,97.3,"111_4"
148,97.3,"111_4"
150,97.3,"111_4"
152,97.3,"111_4"
154,97.3,"111_4"
156,97.3,"111_4"
158,97.3,"111_4"
160,97.3,"111_4"
162,97.3,"111_4"
164,87.525,"111_4"
166,74,"111_4"
168,80.675,"111_4"
170,86.45,"111_4"
172,95.6666666666667,"111_4"
2,50,"112_1"
4,50,"112_1"
6,50,"112_1"
8,50,"112_1"
10,50,"112_1"
12,56.775,"112_1"
14,57.85,"112_1"
16,49.7,"112_1"
18,50.1,"112_1"
20,47.8,"112_1"
22,44.775,"112_1"
24,56.85,"112_1"
26,56,"112_1"
28,56,"112_1"
30,56,"112_1"
32,56,"112_1"
34,56,"112_1"
36,56,"112_1"
38,56,"112_1"
40,59.925,"112_1"
42,63,"112_1"
44,57.875,"112_1"
46,59.05,"112_1"
48,59.525,"112_1"
50,59.5,"112_1"
52,59.5,"112_1"
54,59.5,"112_1"
56,59.5,"112_1"
58,59.5,"112_1"
60,59.5,"112_1"
62,59.5,"112_1"
64,59.5,"112_1"
66,59.5,"112_1"
68,59.5,"112_1"
70,59.5,"112_1"
72,59.5,"112_1"
74,59.5,"112_1"
76,59.5,"112_1"
78,59.5,"112_1"
80,59.5,"112_1"
82,59.25,"112_1"
84,44.05,"112_1"
86,33.15,"112_1"
88,30.825,"112_1"
90,30.8,"112_1"
2,50,"112_2"
4,58.4,"112_2"
6,70.5,"112_2"
8,70.5,"112_2"
10,70.5,"112_2"
12,70.5,"112_2"
14,70.5,"112_2"
16,70.5,"112_2"
18,70.5,"112_2"
20,70.5,"112_2"
22,70.5,"112_2"
24,70.5,"112_2"
26,70.925,"112_2"
28,75.55,"112_2"
30,75.8,"112_2"
32,75.8,"112_2"
34,75.8,"112_2"
36,75.8,"112_2"
38,75.8,"112_2"
40,75.8,"112_2"
42,75.8,"112_2"
44,75.8,"112_2"
46,75.8,"112_2"
48,75.8,"112_2"
50,75.8,"112_2"
52,75.8,"112_2"
54,75.8,"112_2"
56,79.925,"112_2"
58,99.3,"112_2"
60,99.5,"112_2"
62,93.95,"112_2"
64,79.55,"112_2"
66,80.7,"112_2"
68,80.7,"112_2"
70,80.7,"112_2"
72,80.7,"112_2"
74,80.7,"112_2"
76,80.7,"112_2"
78,80.7,"112_2"
80,80.7,"112_2"
82,80.7,"112_2"
84,80.7,"112_2"
86,80.7,"112_2"
88,80.7,"112_2"
90,80.7,"112_2"
92,95.2,"112_2"
94,100,"112_2"
96,100,"112_2"
98,100,"112_2"
100,100,"112_2"
102,100,"112_2"
2,74.8,"112_3"
4,74.8,"112_3"
6,74.8,"112_3"
8,74.8,"112_3"
10,74.8,"112_3"
12,74.8,"112_3"
14,74.8,"112_3"
16,74.8,"112_3"
18,74.8,"112_3"
20,80.4,"112_3"
22,83,"112_3"
24,83,"112_3"
26,83,"112_3"
28,83,"112_3"
30,83,"112_3"
32,83,"112_3"
34,83,"112_3"
36,83,"112_3"
38,83,"112_3"
40,82.975,"112_3"
42,85.975,"112_3"
44,86.5,"112_3"
46,86.5,"112_3"
48,93.8,"112_3"
50,100,"112_3"
52,100,"112_3"
54,100,"112_3"
56,100,"112_3"
58,100,"112_3"
60,100,"112_3"
62,100,"112_3"
64,100,"112_3"
66,100,"112_3"
68,100,"112_3"
70,100,"112_3"
72,100,"112_3"
74,100,"112_3"
76,100,"112_3"
78,100,"112_3"
80,100,"112_3"
82,100,"112_3"
84,100,"112_3"
86,100,"112_3"
2,30.2,"113_2"
4,30.2,"113_2"
6,30.2,"113_2"
8,30.2,"113_2"
10,30.2,"113_2"
12,30.2,"113_2"
14,30.2,"113_2"
16,30.2,"113_2"
18,30.2,"113_2"
20,30.2,"113_2"
22,30.2,"113_2"
24,30.2,"113_2"
26,30.125,"113_2"
28,29.825,"113_2"
30,29.8,"113_2"
32,29.8,"113_2"
34,29.8,"113_2"
36,29.8,"113_2"
38,29.8,"113_2"
40,29.8,"113_2"
42,29.8,"113_2"
44,29.8,"113_2"
46,29.8,"113_2"
48,29.8,"113_2"
50,29.8,"113_2"
52,29.8,"113_2"
54,28.575,"113_2"
56,18.425,"113_2"
58,18.2,"113_2"
60,18.2,"113_2"
62,18.2,"113_2"
64,18.55,"113_2"
66,18.8,"113_2"
68,18.8,"113_2"
70,18.8,"113_2"
72,18.8,"113_2"
74,18.8,"113_2"
76,18.8,"113_2"
78,18.8,"113_2"
80,18.8,"113_2"
82,18.8,"113_2"
84,18.4,"113_2"
86,17.2,"113_2"
88,17.2,"113_2"
90,17.2,"113_2"
92,17.2,"113_2"
94,17.2,"113_2"
96,17.2,"113_2"
98,17.2,"113_2"
100,17.2,"113_2"
102,17.2,"113_2"
104,17.2,"113_2"
106,17.2,"113_2"
108,17.2,"113_2"
110,17.2,"113_2"
112,17.2,"113_2"
114,17.2,"113_2"
116,17.2,"113_2"
118,17.2,"113_2"
120,17.225,"113_2"
122,17.3,"113_2"
124,17.475,"113_2"
126,17.5,"113_2"
128,17.5,"113_2"
130,17.5,"113_2"
132,17.5,"113_2"
134,17.725,"113_2"
136,17.8,"113_2"
138,17.8,"113_2"
140,18.35,"113_2"
142,17.7,"113_2"
144,17.5,"113_2"
146,17.5,"113_2"
148,17.5,"113_2"
150,17.775,"113_2"
152,18.3,"113_2"
154,18.3,"113_2"
156,18.3,"113_2"
158,18.3,"113_2"
160,18.3,"113_2"
162,18.3,"113_2"
164,18.3,"113_2"
166,18.3,"113_2"
168,18.3,"113_2"
170,18.3,"113_2"
172,18.3,"113_2"
174,18.3,"113_2"
176,18.3,"113_2"
178,18.3,"113_2"
180,18.3,"113_2"
182,18.3,"113_2"
184,18.3,"113_2"
186,18.3,"113_2"
188,18.3,"113_2"
190,18.3,"113_2"
192,18.3,"113_2"
194,18.3,"113_2"
196,18.3,"113_2"
2,34.3,"113_3"
4,30.175,"113_3"
6,29.2,"113_3"
8,29.2,"113_3"
10,29.2,"113_3"
12,29.2,"113_3"
14,29.2,"113_3"
16,29.2,"113_3"
18,29.2,"113_3"
20,29.2,"113_3"
22,29.2,"113_3"
24,29.2,"113_3"
26,29.2,"113_3"
28,29.2,"113_3"
30,29.2,"113_3"
32,29.2,"113_3"
34,29.2,"113_3"
36,29.2,"113_3"
38,29.2,"113_3"
40,27.25,"113_3"
42,24.675,"113_3"
44,26.525,"113_3"
46,37.45,"113_3"
48,42.5,"113_3"
50,43.175,"113_3"
52,47.9,"113_3"
54,50.225,"113_3"
56,53.175,"113_3"
58,55.725,"113_3"
60,62.275,"113_3"
62,69.2,"113_3"
64,69.2,"113_3"
66,69.2,"113_3"
68,70.35,"113_3"
70,70.8,"113_3"
72,69.1,"113_3"
74,66.925,"113_3"
76,68.975,"113_3"
78,70.825,"113_3"
80,71.825,"113_3"
82,72.225,"113_3"
84,72.5,"113_3"
86,72.5,"113_3"
88,72.5,"113_3"
90,72.5,"113_3"
92,72.5,"113_3"
94,72.5,"113_3"
96,72.5,"113_3"
98,73.75,"113_3"
100,74.4,"113_3"
102,75.825,"113_3"
104,76.35,"113_3"
106,82.7,"113_3"
2,49.7,"113_4"
4,42.625,"113_4"
6,39.575,"113_4"
8,37.2,"113_4"
10,37.2,"113_4"
12,37.2,"113_4"
14,37.2,"113_4"
16,37.2,"113_4"
18,37.2,"113_4"
20,37.2,"113_4"
22,37.2,"113_4"
24,38.525,"113_4"
26,36.7,"113_4"
28,36.7,"113_4"
30,36.7,"113_4"
32,36.7,"113_4"
34,36.7,"113_4"
36,36.7,"113_4"
38,36.7,"113_4"
40,38.925,"113_4"
42,53.15,"113_4"
44,43.25,"113_4"
46,40.2,"113_4"
48,45.575,"113_4"
50,57.65,"113_4"
52,59.3,"113_4"
54,43.1,"113_4"
56,47.325,"113_4"
58,48.7,"113_4"
60,48.7,"113_4"
62,48.7,"113_4"
64,48.7,"113_4"
66,48.7,"113_4"
68,45.175,"113_4"
70,36.8,"113_4"
72,36.8,"113_4"
74,36.8,"113_4"
76,36.8,"113_4"
78,36.8,"113_4"
80,36.8,"113_4"
82,36.8,"113_4"
84,36.8,"113_4"
86,36.8,"113_4"
88,36.8,"113_4"
90,36.8,"113_4"
92,36.8,"113_4"
94,36.8,"113_4"
96,36.8,"113_4"
98,36.8,"113_4"
100,36.8,"113_4"
102,35.875,"113_4"
104,36.575,"113_4"
106,35.275,"113_4"
108,39.475,"113_4"
110,57.425,"113_4"
112,61,"113_4"
114,48.6,"113_4"
116,44.5,"113_4"
118,44.5,"113_4"
120,44.475,"113_4"
122,41.9,"113_4"
124,41.75,"113_4"
126,41.725,"113_4"
128,40.75,"113_4"
130,37.575,"113_4"
132,36.7,"113_4"
134,36.7,"113_4"
136,36.7,"113_4"
138,40.275,"113_4"
140,31.275,"113_4"
142,31.9,"113_4"
144,31.325,"113_4"
146,28.675,"113_4"
148,29.525,"113_4"
150,29.7,"113_4"
152,29.7,"113_4"
154,29.7,"113_4"
156,29.7,"113_4"
158,29.7,"113_4"
160,29.7,"113_4"
162,29.7,"113_4"
164,29.7,"113_4"
166,29.7,"113_4"
168,29.7,"113_4"
170,29.7,"113_4"
172,29.7,"113_4"
174,29.75,"113_4"
176,29.8,"113_4"
178,29.8,"113_4"
180,29.8,"113_4"
182,29.8,"113_4"
2,50.1,"113_5"
4,50.2,"113_5"
6,50.2,"113_5"
8,45.225,"113_5"
10,37.7,"113_5"
12,37.7,"113_5"
14,37.7,"113_5"
16,37.7,"113_5"
18,37.7,"113_5"
20,33.125,"113_5"
22,30.7,"113_5"
24,27.925,"113_5"
26,26.5,"113_5"
28,26.375,"113_5"
30,26.2,"113_5"
32,26.2,"113_5"
34,26.6,"113_5"
36,27.8,"113_5"
38,27.8,"113_5"
40,27.8,"113_5"
42,27.8,"113_5"
44,27.8,"113_5"
46,29.325,"113_5"
48,33.325,"113_5"
50,34.825,"113_5"
52,35.2,"113_5"
54,35.3,"113_5"
56,35.875,"113_5"
58,35.3,"113_5"
60,35.3,"113_5"
62,35.3,"113_5"
64,35.3,"113_5"
66,35.3,"113_5"
68,35.3,"113_5"
70,35.3,"113_5"
72,35.3,"113_5"
74,34.85,"113_5"
76,34.8,"113_5"
78,34.8,"113_5"
80,32.9,"113_5"
82,22.05,"113_5"
84,21.8,"113_5"
86,21.8,"113_5"
88,21.8,"113_5"
90,22.825,"113_5"
92,23.775,"113_5"
94,25.15,"113_5"
96,22.35,"113_5"
98,20.85,"113_5"
100,21.475,"113_5"
102,21.5,"113_5"
104,21.5,"113_5"
106,21.5,"113_5"
108,21.5,"113_5"
110,21.5,"113_5"
112,21.35,"113_5"
114,21.2,"113_5"
116,21.2,"113_5"
118,21.2,"113_5"
120,21.425,"113_5"
122,21.5,"113_5"
124,21.5,"113_5"
126,21.5,"113_5"
128,21.5,"113_5"
130,21.5,"113_5"
132,21.5,"113_5"
134,21.5,"113_5"
136,21.5,"113_5"
138,21.5,"113_5"
140,21.5,"113_5"
142,21.5,"113_5"
144,21.5,"113_5"
146,21.5,"113_5"
148,21.5,"113_5"
150,21.5,"113_5"
152,21.5,"113_5"
154,21.5,"113_5"
156,21.5,"113_5"
158,21.5,"113_5"
160,21.5,"113_5"
162,21.5,"113_5"
164,21.5,"113_5"
166,21.5,"113_5"
168,21.5,"113_5"
170,21.5,"113_5"
172,21.5,"113_5"
174,21.5,"113_5"
176,21.5,"113_5"
178,21.5,"113_5"
180,21.5,"113_5"
2,50.2,"113_6"
4,50.375,"113_6"
6,45.875,"113_6"
8,56.925,"113_6"
10,60.575,"113_6"
12,57.275,"113_6"
14,56.775,"113_6"
16,56.7,"113_6"
18,56.175,"113_6"
20,55,"113_6"
22,55,"113_6"
24,55,"113_6"
26,55,"113_6"
28,55,"113_6"
