"participantID","videoID","order","condition","comprehensionCheckQ1Correct","comprehensionCheckQ2Correct","accuracy","IRI_EC","IRI_PT","IRI_PD","LT_Empathy","SPS","SIAS","gender","age"
"adc21a46","173_6",1,"both",TRUE,TRUE,-0.253568001949351,24,20,12,13,24,24,"F",54
"6c56c1b8","174_3",1,"both",TRUE,TRUE,0.780270248614294,22,21,15,9,12,12,"F",43
"d208defe","170_2",1,"both",TRUE,TRUE,0.22341512487231,24,21,9,12,41,49,"M",30
"12b6c6f2","174_2",1,"both",TRUE,TRUE,0.690041938777543,26,20,7,12,7,12,"M",50
"32349691","151_2",1,"both",TRUE,TRUE,0.951854181476084,21,21,11,11,4,23,"F",41
"043d498b","124_3",1,"both",TRUE,TRUE,0.512600232134685,9,16,5,12,26,40,"F",58
"299700c6","129_2",1,"both",TRUE,TRUE,-0.302326484428561,24,18,5,12,29,24,"F",32
"a1e56f7e","178_6",1,"both",TRUE,TRUE,0.596218382374377,19,7,5,12,18,15,"M",24
"0c0ca170","167_2",1,"both",TRUE,TRUE,0.921504824039125,25,22,20,12,24,35,"F",34
"6679d22d","174_2",1,"both",TRUE,TRUE,0.668791904816175,26,21,18,12,77,73,"M",38
"bd0260dc","181_2",1,"both",TRUE,TRUE,0.730808054384993,21,23,9,8,6,9,"F",31
"6793b5b1","173_6",1,"both",TRUE,TRUE,0.237857199260092,19,26,9,9,13,17,"F",26
"4aea9ff7","121_5",1,"both",TRUE,TRUE,0.698056036080069,21,23,3,12,14,23,"F",31
"9be2441e","135_3",1,"both",TRUE,TRUE,0.535719053513542,23,28,20,12,17,16,"F",38
"ca483851","178_6",1,"both",TRUE,TRUE,0.641464930508428,28,22,0,12,0,4,"F",39
"ef00961a","173_4",1,"both",TRUE,TRUE,-0.399712081950851,18,19,15,12,39,36,"F",27
"7f39ee6e","124_3",1,"both",TRUE,TRUE,0.536781624608299,28,17,13,12,29,35,"F",55
"fe0d5db7","124_3",1,"both",TRUE,TRUE,0.526980152158094,26,19,5,14,16,27,"F",31
"a4ee2c76","147_5",1,"both",FALSE,TRUE,0.368154729285652,18,21,0,12,15,21,"M",38
"9b5022ac","124_3",1,"both",TRUE,TRUE,0.756215951964339,23,21,10,12,4,9,"F",61
"72e4e86d","178_6",1,"both",TRUE,TRUE,0.468388412713051,27,27,18,11,48,45,"F",38
"982ee4ac","151_2",1,"both",TRUE,TRUE,0.934864420143724,25,19,14,14,20,26,"F",21
"ad4fe4c7","147_2",1,"both",TRUE,TRUE,0.0186299700720521,14,7,17,12,19,36,"M",51
"f84f2ad2","174_2",1,"both",TRUE,FALSE,0.575304751280107,28,13,4,12,47,20,"F",29
"862001fc","129_5",1,"both",TRUE,TRUE,0.669489570901199,18,14,10,13,7,10,"F",32
"a1d29bbd","137_6",1,"both",TRUE,TRUE,0.888193661775662,24,27,12,9,53,64,"M",29
"a4d1942d","147_2",1,"both",FALSE,TRUE,0.32523155872808,18,24,0,12,0,8,"M",48
"2bdae298","181_2",1,"both",TRUE,TRUE,0.667205665141789,28,25,7,10,20,17,"F",54
"df7416f9","128_2",1,"both",FALSE,TRUE,0.498727847190492,23,20,19,12,17,21,"M",24
"63d12839","124_3",1,"both",TRUE,TRUE,0.57246801232605,24,21,6,14,17,14,"M",36
