"participantID","videoID","order","condition","accuracy","IRI_EC","IRI_PT","IRI_PD","gender","age"
"b17ac6c6","HID120_vid8",1,"videoOnly",0.504158947458105,15,20,6,"M",31
"4c5528cb","HID120_vid8",1,"videoOnly",0.582333333307575,15,24,5,"F",21
"f2ef6fa8","HID117_vid4",1,"videoOnly",0.680659078847908,24,24,16,"M",35
"e3db2aea","HID101_vid2",1,"videoOnly",0.123050741660537,10,19,20,"F",34
"1903464d","HID101_vid2",1,"videoOnly",-0.459566865236498,10,19,14,"F",25
"938b8dc4","HID120_vid8",1,NA,NA,13,15,11,"M",22
"ecbd01ae","HID117_vid4",1,"videoOnly",-0.638437784742972,18,21,5,"M",34
"e61cc3b6","HID101_vid2",1,"videoOnly",0.727088444492915,19,19,12,"F",23
"6271e70f","HID117_vid4",1,"videoOnly",0.576348199413131,26,27,5,"F",27
"2705bf5b","HID101_vid2",1,"videoOnly",-0.346586958460914,21,25,14,"F",21
"1615c04f","HID101_vid2",1,"videoOnly",-0.338783324465998,13,12,15,"M",38
"d049e5b2","HID117_vid4",1,"videoOnly",0.413948818247583,1,24,0,"M",28
"380872f4","HID101_vid2",1,NA,NA,26,28,9,"F",27
"d9a1dbda","HID101_vid2",1,NA,NA,13,12,14,"M",58
"4621e208","HID120_vid8",1,NA,NA,20,16,14,"M",32
"6940b02e","HID101_vid2",1,"videoOnly",-0.696816763257403,21,21,6,"M",40
"8e3576dc","HID117_vid4",1,NA,NA,13,15,17,"M",58
"305b63ff","HID101_vid2",1,NA,NA,19,21,19,"F",20
"5cce9193","HID120_vid8",1,NA,NA,15,12,20,"F",26
"3134c82c","HID120_vid8",1,"videoOnly",0.45069859612805,11,13,24,"M",35
"a930edea","HID120_vid8",1,"videoOnly",0.755572135389192,20,27,15,"M",30
"951bf361","HID101_vid2",1,"videoOnly",-0.573178647872394,20,15,2,"M",41
"12dc76c0","HID120_vid8",1,NA,NA,13,18,18,"F",37
"e4fefb1d","HID101_vid2",1,NA,NA,13,15,14,"M",32
"0fb3f9a6","HID117_vid4",1,"videoOnly",0.0231914245295775,19,27,2,"M",39
"92fda9dc","HID120_vid8",1,"videoOnly",0.690771285945929,14,16,13,"M",32
"6231b4c1","HID101_vid2",1,NA,NA,19,14,16,"F",27
"5456a6f3","HID101_vid2",1,"videoOnly",-0.51846673674447,25,13,15,"M",35
"73ec1029","HID120_vid8",1,"videoOnly",0.70350162420079,5,6,7,"M",36
"2051b525","HID120_vid8",1,"videoOnly",0.831485567843806,28,28,0,"M",27
"743d1796","HID101_vid2",1,NA,NA,17,17,16,"M",29
"7eb4c0a8","HID120_vid8",1,"videoOnly",0.364011539405919,25,9,9,"M",46
"7e1d2a38","HID120_vid8",1,NA,NA,14,18,20,"M",27
"97e10989","HID120_vid8",1,"videoOnly",0.848550562956879,15,20,20,"F",29
"de11926c","HID101_vid2",1,"videoOnly",-0.638170167637471,28,28,2,"M",24
"68bc3e3d","HID117_vid4",1,NA,NA,14,18,20,"F",26
"b48ff8a7","HID101_vid2",1,NA,NA,14,20,20,"M",27
"51990a60","HID117_vid4",1,"videoOnly",-0.119603309062879,0,11,3,"M",20
"314f4c01","HID117_vid4",1,NA,NA,14,20,17,"M",27
"8ed4687a","HID117_vid4",1,"videoOnly",0.0628120665067614,14,24,10,"M",19
"1360931e","HID101_vid2",1,NA,NA,14,18,18,"M",22
"148bd818","HID101_vid2",1,"videoOnly",-0.361936521369294,18,17,18,"F",40
"d6681b24","HID120_vid8",1,NA,NA,18,19,18,"M",27
"709f9b25","HID117_vid4",1,"videoOnly",0.21827590766661,25,23,16,"M",28
"d9303e94","HID101_vid2",1,NA,NA,11,9,12,"M",22
"69f2ab8c","HID101_vid2",1,"videoOnly",-0.411503636544732,22,23,13,"M",32
"8e2ee6f3","HID127_vid4",1,"videoOnly",0.323323944019824,14,14,14,"F",31
"c1cbf830","HID127_vid4",1,"videoOnly",0.165957217066061,13,21,9,"M",29
"1f22fa40","HID119_vid5",1,NA,NA,17,13,13,"M",26
"d12a1a41","HID53_vid2",1,"videoOnly",0.123650204550088,16,12,12,"F",24
"1e092585","HID119_vid5",1,"videoOnly",0.699135851059926,0,26,0,"M",29
"455976dc","HID127_vid4",1,"videoOnly",0.457984644875722,21,19,21,"M",21
"6de00aa4","HID53_vid2",1,NA,NA,17,15,12,"M",38
"a7cf628a","HID127_vid4",1,"videoOnly",0.311716117016797,20,17,9,"M",34
"f23f671b","HID127_vid4",1,"videoOnly",0.137314275116989,26,23,10,"F",39
"4b0cd795","HID119_vid5",1,NA,NA,28,28,28,"F",47
"7a5ac630","HID119_vid5",1,"videoOnly",0.516213123827351,18,16,0,"M",50
"5358df21","HID119_vid5",1,NA,NA,16,13,16,"F",36
"90d6728c","HID53_vid2",1,"videoOnly",0.3339508731942,0,12,3,"M",35
"3333d1b3","HID119_vid5",1,"videoOnly",-0.0895237528440744,26,23,13,"F",36
"4b17e227","HID127_vid4",1,"videoOnly",0.285342416850429,20,24,20,"F",20
"86e12a93","HID119_vid5",1,"videoOnly",0.0652457740945413,21,28,8,"M",33
"bbeffde9","HID53_vid2",1,"videoOnly",0.218203025082488,23,15,6,"M",54
"f2660f29","HID119_vid5",1,"videoOnly",0.412877701101897,20,21,11,"M",26
"d26f78a0","HID119_vid5",1,NA,NA,23,9,20,"F",29
"77576a14","HID127_vid4",1,"videoOnly",0.161797838758243,26,26,6,"F",35
"e8458214","HID119_vid5",1,"videoOnly",-0.425085159023031,24,23,0,"M",71
"c5538b48","HID53_vid2",1,"videoOnly",-0.677996598871932,28,28,0,"M",32
"7e5590df","HID127_vid4",1,"videoOnly",0.176801881907141,21,21,17,"M",26
"cd2307c1","HID53_vid2",1,NA,NA,15,15,13,"M",28
"8eb969b5","HID53_vid2",1,NA,NA,14,11,15,"M",29
