"condition","videoID","time","rating","N","sd"
"audioOnly","111_1",2,50,5,0
"audioOnly","111_1",4,50,5,0
"audioOnly","111_1",6,51.2475015904063,5,2.65222493358224
"audioOnly","111_1",8,53.6995,5,9.04978943125198
"audioOnly","111_1",10,52.207396408776,5,11.2531579017321
"audioOnly","111_1",12,50.3643621521895,5,13.8258220170469
"audioOnly","111_1",14,50.4497001996007,5,14.599142610796
"audioOnly","111_1",16,50.8,5,14.7207336773681
"audioOnly","111_1",18,51.4,5,15.0432709209134
"audioOnly","111_1",20,52.3491,5,16.4146764527967
"audioOnly","111_1",22,48.9064888295697,5,11.5516111586347
"audioOnly","111_1",24,47.2923158730159,5,10.0503669724356
"audioOnly","111_1",26,50.3932315913057,5,9.36850161697314
"audioOnly","111_1",28,54.3985971919742,5,11.4049721759933
"audioOnly","111_1",30,55.3998003992016,5,11.8867451717467
"audioOnly","111_1",32,55.4,5,11.8869676536954
"audioOnly","111_1",34,55.3579840319361,5,11.9771299182701
"audioOnly","111_1",36,55.2,5,12.3166553901617
"audioOnly","111_1",38,55.2,5,12.3166553901617
"audioOnly","111_1",40,55.5216379241516,5,11.6262825009212
"audioOnly","111_1",42,55.8,5,11.0317722964173
"audioOnly","111_1",44,55.9499001996007,5,11.0572171430249
"audioOnly","111_1",46,56.2999,5,11.1556801697611
"audioOnly","111_1",48,58.3971,5,13.8986489289426
"audioOnly","111_1",50,60.1493987975951,5,16.8989800834051
"audioOnly","111_1",52,62.5388223552893,5,18.9067555828799
"audioOnly","111_1",54,63.3377507980151,5,16.6282212772967
"audioOnly","111_1",56,64.0366259465037,5,16.0737041539534
"audioOnly","111_1",58,60.3957271457085,5,8.3969686244402
"audioOnly","111_1",60,57.75,5,5.11737237261468
"audioOnly","111_1",62,61.2812887485231,5,8.59631537451958
"audioOnly","111_1",64,62.8172624750499,5,10.3631967646775
"audioOnly","111_1",66,64.0191309381238,5,10.9075996060345
"audioOnly","111_1",68,64.2,5,10.686440005914
"audioOnly","111_1",70,64.2,5,10.686440005914
"audioOnly","111_1",72,64.2,5,10.686440005914
"audioOnly","111_1",74,63.3005988023952,5,11.299925891178
"audioOnly","111_1",76,51.269557490812,5,8.50309955962755
"audioOnly","111_1",78,46.1024843170801,5,13.2859042003183
"audioOnly","111_1",80,44.209216766467,5,13.2786880166078
"audioOnly","111_1",82,41.9963044442507,5,12.9818251780626
"audioOnly","111_1",84,42.1467065868263,5,12.3479910744287
"audioOnly","111_1",86,47.0445001996007,5,10.3769827310399
"audioOnly","111_1",88,46.9019048080191,5,10.2796644016352
"audioOnly","111_1",90,41.9540000479052,5,8.6944971898314
"audioOnly","111_1",92,41.1506988039856,5,7.70516817598746
"audioOnly","111_1",94,40.9498023856858,5,8.21299642244047
"audioOnly","111_1",96,40.4405203649007,5,9.17369200703317
"audioOnly","111_1",98,40,5,9.38083151964686
"audioOnly","111_1",100,40,5,9.38083151964686
"audioOnly","111_1",102,40,5,9.38083151964686
"audioOnly","111_1",104,39.3509964143426,5,8.87403321618622
"audioOnly","111_1",106,38.2502008032128,5,8.52569646431361
"audioOnly","111_1",108,37.8511976047904,5,8.77342499900709
"audioOnly","111_1",110,35.1023976095617,5,11.2898058086418
"audioOnly","111_1",112,34.5504,5,11.5331999375715
"audioOnly","111_1",114,32.2325918163672,5,11.9481836461176
"audioOnly","111_1",116,28.8363836327345,5,11.8497712760604
"audioOnly","111_1",118,25.6507988031952,5,12.444103558042
"audioOnly","111_1",120,25.1003002012008,5,12.1779579840483
"audioOnly","111_1",122,24.7001996007984,5,11.6172019624661
"audioOnly","111_1",124,24.6,5,11.4149025401008
"audioOnly","111_1",126,24.0510976047903,5,12.6825618249459
"audioOnly","111_1",128,23.6496993987976,5,12.9031899184289
"audioOnly","111_1",130,21.9134555812869,5,14.3718065809325
"audioOnly","111_1",132,20.1257854808312,5,15.3288986922301
"audioOnly","111_1",134,18.682744439692,5,15.2024316078825
"audioOnly","111_1",136,15.751,5,17.0265235735308
"audioOnly","111_1",138,15.2006976095618,5,17.4554483624139
"audioOnly","111_1",140,14.8,5,17.5982953719956
"audioOnly","111_1",142,14.8,5,17.5982953719956
"audioOnly","111_1",144,14.4005988023952,5,17.9799456313581
"audioOnly","111_1",146,14.1880171927062,5,17.9041035589841
"audioOnly","111_1",148,13.154517391478,5,17.9280596766767
"audioOnly","111_1",150,12.45,5,17.9028628995477
"audioOnly","111_1",152,12.3001996007984,5,17.859048378389
"audioOnly","111_1",154,11.9,5,18.1259482510571
"audioOnly","111_1",156,11.6,5,18.3521115951271
"audioOnly","111_1",158,11.6,5,18.3521115951271
"audioOnly","111_1",160,11.7991983967936,5,18.1994957759662
"audioOnly","111_1",162,11.6011976047904,5,18.3511655387979
"audioOnly","111_1",164,11.6,5,18.3521115951271
"audioOnly","111_1",166,11.6,5,18.3521115951271
"audioOnly","111_1",168,11.1502998003992,5,17.4250950120206
"audioOnly","111_1",170,10.8,5,16.7092788593643
"audioOnly","111_1",172,10.8,5,16.7092788593643
"audioOnly","111_1",174,10.6412,5,16.6511767512089
"audioOnly","111_1",176,10.6,5,16.6373074744683
"audioOnly","111_1",178,10.6,5,16.6373074744683
"audioOnly","111_1",180,10.7496999999999,5,16.9459877389899
"audioOnly","111_1",182,11.5990039840637,5,17.5876066974079
"audioOnly","111_1",184,12.6485017964072,5,17.0185997359234
"audioOnly","111_1",186,12.8,5,16.9617216107328
"audioOnly","111_1",188,12.3500996007983,5,16.0310347046687
"audioOnly","111_1",190,12.6,5,16.5469030334984
"audioOnly","111_1",192,12.6,5,16.5469030334984
"audioOnly","111_1",194,12.6,5,16.5469030334984
"audioOnly","111_1",196,12.85,5,16.3167858354518
"audioOnly","111_1",198,15.0975117422952,5,15.0438095119625
"audioOnly","111_1",200,16.3497995991983,5,15.0328406429388
"audioOnly","111_1",202,15.6000998003992,5,13.5020402113962
"audioOnly","111_1",204,13.5507005988023,5,14.6358419895002
"audioOnly","111_1",206,12.8501,5,14.7092436940177
"audioOnly","111_1",208,12.8,5,14.7207336773681
"audioOnly","111_1",210,12.8,5,14.7207336773681
"audioOnly","111_1",212,12.8,5,14.7207336773681
"audioOnly","111_1",214,12.8,5,14.7207336773681
"audioOnly","111_1",216,12.8,5,14.7207336773681
"audioOnly","111_1",218,13.548502994012,5,13.9838902974759
"audioOnly","111_1",220,14.4009824937955,5,13.3470390194084
"audioOnly","111_1",222,14.672564252419,5,12.8859468935511
"audioOnly","111_1",224,15.045504836357,5,13.1412045968681
"audioOnly","111_1",226,14.5347305389221,5,14.741930570963
"audioOnly","111_1",228,15.482968278862,5,15.289553284381
"audioOnly","111_1",230,16.5691867261493,5,15.0691949139207
"audioOnly","111_1",232,20.546754484656,5,17.6255735887747
"audioOnly","111_1",234,20.850763201533,5,19.6454427971437
"audioOnly","111_1",236,21,5,19.6468827043885
"audioOnly","111_1",238,21,5,19.6468827043885
"audioOnly","111_1",240,21,5,19.6468827043885
"audioOnly","111_1",242,25.8434049900199,5,17.564283871862
"audioOnly","111_1",244,33.3727999999998,5,25.4856606584955
