"participantID","videoID","condition","accuracy"
361,"101v2","videoOnly",-0.415976630107806
364,"101v2","videoOnly",-0.518807858586854
367,"101v2","videoOnly",0.304983355002815
370,"101v2","videoOnly",-0.543825944087085
303,"107v4","both",-0.0338185050569856
306,"107v4","both",0.776006186827679
309,"107v4","both",0.0922291811866913
315,"107v4","both",0.604746554991734
318,"107v4","both",0.370673969504625
321,"107v4","both",0.39677526455612
324,"107v4","both",0.255311459838261
327,"107v4","both",0.202699568262682
330,"107v4","both",0.121526416332751
333,"107v4","both",0.439156364244599
336,"107v4","both",0.185733185430429
339,"107v4","both",0.560849104256152
342,"107v4","both",0.447513500278312
345,"107v4","both",0.628496285266143
348,"107v4","both",0.816347621064431
351,"107v4","both",0.729213374988054
354,"107v4","both",0.534758825025171
357,"107v4","both",0.49124782566572
360,"107v4","both",0.48752803396703
363,"107v4","both",0.795189818258507
366,"107v4","both",0.756263412848105
369,"107v4","both",0.662394282106281
372,"107v4","both",0.443983938391563
301,"107v4","audioOnly",0.760393347106605
304,"107v4","audioOnly",0.397260334501242
307,"107v4","audioOnly",0.716903435925684
310,"107v4","audioOnly",0.826863365212828
312,"107v4","audioOnly",0.715001644093591
313,"107v4","audioOnly",0.93670701642479
316,"107v4","audioOnly",0.860094028556156
319,"107v4","audioOnly",0.693146918635104
322,"107v4","audioOnly",0.878419181298253
325,"107v4","audioOnly",0.811542423095571
328,"107v4","audioOnly",0.741966182309249
331,"107v4","audioOnly",0.816511927541029
334,"107v4","audioOnly",0.779395266391277
337,"107v4","audioOnly",0.690302898869621
340,"107v4","audioOnly",0.798633115476131
343,"107v4","audioOnly",0.712823364909305
346,"107v4","audioOnly",0.813165648775839
349,"107v4","audioOnly",0.199019800008648
352,"107v4","audioOnly",0.738537201814789
355,"107v4","audioOnly",0.670520674975518
358,"107v4","audioOnly",0.560907840644179
361,"107v4","audioOnly",0.438970272828722
364,"107v4","audioOnly",0.660171782556109
367,"107v4","audioOnly",-0.779371892820751
370,"107v4","audioOnly",0.775941041556781
302,"107v4","videoOnly",-0.375189453330005
305,"107v4","videoOnly",0.299475650005191
308,"107v4","videoOnly",0.03793425797036
311,"107v4","videoOnly",0.0539314537552274
314,"107v4","videoOnly",0.189492662405962
317,"107v4","videoOnly",-0.00675089847931269
320,"107v4","videoOnly",0.254857477125334
323,"107v4","videoOnly",0.701109422666176
326,"107v4","videoOnly",-0.443553311783683
329,"107v4","videoOnly",-0.164210609657364
332,"107v4","videoOnly",0.0986942917085051
335,"107v4","videoOnly",-0.134980069646844
338,"107v4","videoOnly",0.345085002747018
341,"107v4","videoOnly",0.0805715280879722
344,"107v4","videoOnly",0.102793670129877
