"videoID","time","rating"
"053v2",2,50
"053v2",4,51.125
"053v2",6,50.2915
"053v2",8,44.5415
"053v2",10,46.7915
"053v2",12,51.16675
"053v2",14,54.83325
"053v2",16,55.5415
"053v2",18,58.375
"053v2",20,59.667
"053v2",22,61.16675
"053v2",24,61.458
"053v2",26,64.167
"053v2",28,62.70825
"053v2",30,52.5
"053v2",32,45.41675
"053v2",34,45.708
"053v2",36,46.083
"053v2",38,47.79175
"053v2",40,51
"053v2",42,56.41675
"053v2",44,48.9585
"053v2",46,46.2915
"053v2",48,48.625
"053v2",50,50.25
"053v2",52,50.6665
"053v2",54,52
"053v2",56,52.4585
"053v2",58,55
"053v2",60,58.083
"053v2",62,58.58325
"053v2",64,56.87525
"053v2",66,58.0415
"053v2",68,58.37475
"053v2",70,58.87475
"053v2",72,60.292
"053v2",74,61.04175
"053v2",76,62.667
"053v2",78,64.75025
"053v2",80,62.4165
"053v2",82,67.33325
"053v2",84,69.24975
"053v2",86,70.66675
"053v2",88,75.41675
"053v2",90,76.3335
"053v2",92,77.29175
"053v2",94,77.75
"053v2",96,77.5835
"053v2",98,80
"053v2",100,80.875
"053v2",102,80.9585
"053v2",104,73.9585
"053v2",106,52.7085
"053v2",108,54.74975
"053v2",110,60.875
"053v2",112,68.75
"053v2",114,69.58325
"053v2",116,77.625
"053v2",118,78.5
"053v2",120,78.667
"053v2",122,78.667
"053v2",124,78.667
"053v2",126,78.3335
"053v2",128,81.29175
"053v2",130,82.833
"053v2",132,84.4165
"053v2",134,86.833
"053v2",136,86.833
"053v2",138,88
"053v2",140,89.625
"053v2",142,94.333
"053v2",144,94.333
"053v2",146,92.125
"053v2",148,91.5
"053v2",150,90.875
"053v2",152,90
"053v2",154,97.542
"053v2",156,99.667
"053v2",158,97.375
"053v2",160,93.66675
"053v2",162,91.75
"053v2",164,94.1665
"053v2",166,96.33325
"053v2",168,97.667
"101v2",2,50
"101v2",4,50
"101v2",6,50
"101v2",8,50
"101v2",10,50
"101v2",12,48.4
